Pulse,CMi1,CMi2,CMi3,CMi4,CMi5,CMi6,CMi7,CMi8,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM15,CM16,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24,CM25,CM26
17,107.622167,113.864661,112.175081,111.213873,114.129741,106.411519,104.435661,110.517276,106.215992,103.311571,103.731765,103.442376,105.328757,102.823607,102.726498,104.744301,103.256098,100.967375,103.138906,101.599554,103.506311,103.634476,102.881844,103.038883,102.445679,102.635736,104.261062,103.667467,102.816901,102.007905,100.611451,102.356502,102.985406,104.609965
18,108.116612,115.454376,112.924397,111.65061,114.512834,107.248339,104.435661,111.15882,106.488053,103.602612,104.004253,103.774172,105.906792,102.961344,102.868503,104.929144,103.22556,101.024279,103.223091,101.692551,103.646564,103.84216,103.170029,103.303133,102.737991,102.640958,104.469027,104.202818,103.026671,102.245059,100.615727,102.858457,103.192829,104.97232
19,108.66885,117.044091,113.16211,111.856134,114.908696,107.426778,105.445762,111.305314,106.600426,103.539684,104.306649,103.965991,105.671965,103.152978,102.982107,105.360444,103.229377,101.100152,103.415514,101.785548,103.927069,104.049844,103.242075,103.539071,102.835428,102.754533,104.681416,104.122823,102.697033,102.31357,100.769658,102.494444,103.33358,104.700554
20,108.90323,117.196794,113.911426,112.292871,115.368408,107.734433,105.31401,112.063043,106.872486,103.830724,104.549231,104.15781,105.924855,103.317663,103.095711,105.730129,103.233195,101.081184,103.644017,102.018041,104.067321,104.049844,103.530259,103.605134,103.001072,102.840694,104.951327,104.313581,103.655978,102.772069,100.983452,102.693693,103.541003,105.203825
21,109.259616,117.273146,113.451501,112.498394,116.057975,108.300517,105.753184,112.421701,106.984859,103.909384,104.821719,104.220022,106.09646,103.4554,103.237717,105.976587,103.408787,101.213961,103.728202,102.250535,104.347826,104.361371,103.674352,103.92601,103.147228,102.979073,104.893805,104.621254,103.685945,102.761528,101.047591,102.954249,103.815097,105.072974
22,109.596738,117.349497,114.247326,112.973667,117.200868,108.263598,106.455863,112.391392,106.990774,104.412806,104.944672,104.365182,106.286127,103.620086,103.294519,106.223044,103.44696,101.270865,103.812387,102.315633,104.488079,104.672897,103.89049,103.85051,103.273897,102.95427,105.632743,105.156606,103.416242,103.046113,101.103177,103.161162,103.889177,104.871666
23,110.206768,117.464025,115.182678,113.949904,117.743583,108.398966,107.158542,112.643968,107.369293,104.208291,105.127438,104.650319,106.782876,103.757823,103.464925,106.469501,103.519487,101.327769,104.004811,102.157537,104.908836,104.776739,104.106628,104.058135,103.371334,103.10962,105.482301,105.390438,103.715912,102.86693,101.077522,102.984903,104.229943,105.022647
24,110.360881,117.559464,116.211049,114.03982,118.746009,109.32193,107.334212,113.189533,107.747812,104.8533,105.429834,104.748821,106.873194,103.949457,103.60693,106.531115,103.69508,101.346737,104.125075,102.473728,104.768583,104.984424,104.178674,104.209136,103.556465,103.210141,105.411504,105.095071,103.955649,102.935441,101.351178,103.138172,104.370694,104.750881
25,110.855327,117.654904,116.216216,114.245344,119.461116,109.629584,107.817303,113.371388,107.753726,105.215134,105.702323,104.94064,107.288656,104.033296,103.663732,106.715958,103.664542,101.441578,104.24534,102.901516,105.189341,105.192108,104.394813,104.473386,103.653902,103.358964,105.800885,105.987324,104.495055,103.541502,101.047591,103.149667,104.511445,105.042778
26,111.176395,115.857139,116.128365,114.181118,120.291151,109.32193,108.344313,114.023035,107.866099,105.152206,105.944904,105.215408,107.198338,104.090188,103.862539,107.982474,103.908845,101.517451,104.365604,102.855017,105.329593,105.29595,104.682997,104.577199,103.839033,103.355048,106.030973,106.036552,104.405154,103.567852,101.14166,103.490689,104.518853,105.707096
27,111.439671,115.994505,116.552116,114.502248,121.41489,109.814177,108.783487,114.144272,108.191389,105.514041,105.978134,105.407227,107.695087,104.227925,103.947742,107.208872,103.912662,101.631259,104.521948,102.892216,105.329593,105.399792,104.682997,104.747074,104.082627,103.422932,105.80531,106.184235,104.315253,103.472991,101.227177,103.421718,104.859619,104.942124
28,111.905221,116.131872,117.254922,114.592164,121.092453,110.121831,108.915239,114.290766,108.356991,105.521907,106.190808,105.45907,108.273121,104.39261,104.118148,107.578558,103.950834,101.688164,104.642213,103.152609,105.610098,105.607477,104.899135,104.813137,104.121602,103.464707,106.513274,105.975017,104.974528,103.747036,101.14166,103.923672,105.00037,104.952189
29,111.99512,116.494625,117.771691,114.836224,120.770017,110.127984,109.222661,114.614063,108.522593,105.954535,106.553019,105.744207,108.200867,104.449501,104.260153,107.825015,104.126427,101.783005,104.690319,103.189807,105.610098,105.711319,104.971182,105.020763,104.365195,103.438597,106.393805,106.510369,104.944561,104.158103,101.415316,103.640126,105.007778,105.032713
30,112.09144,117.313489,118.102424,115.157354,120.60401,110.73714,109.354414,114.548394,108.741424,106.103988,106.735786,105.899736,108.535043,104.533341,104.316955,108.009858,104.061534,101.801973,104.918821,103.282805,105.890603,105.919003,105.18732,104.973575,104.374939,103.385073,106.544248,106.571903,105.064429,103.820817,101.41104,103.758909,105.415216,104.97232
31,112.457458,117.904297,118.479665,115.285806,121.37658,111.001723,109.574001,115.402101,108.960256,106.111854,106.798923,106.044896,108.399566,104.832769,104.43056,108.194701,104.271481,101.858877,105.075165,103.152609,105.890603,106.126687,105.331412,105.209513,104.530839,103.37463,106.70354,106.793428,105.424034,104.179183,101.355454,103.804889,105.489296,105.052843
32,113.067489,118.495105,119.042944,115.568401,122.034223,110.835589,109.530083,115.548596,109.019399,106.190514,106.98169,106.236715,108.571171,104.916609,104.43056,108.31793,104.378364,101.972686,105.051112,103.496699,106.171108,106.23053,105.54755,105.313326,104.491864,103.612224,107.19469,106.898037,105.274198,104.389987,101.500834,104.199556,105.630047,105.43533
33,113.279394,121.133072,119.327167,115.773924,124.013536,111.100172,109.92534,115.942615,109.29146,106.552348,107.224271,106.335217,109.230491,105.054346,104.629367,109.769289,104.347826,102.048558,105.243536,103.673393,106.451613,106.334372,105.691643,105.313326,104.725714,103.582199,107.199115,107.34724,105.693737,104.505929,101.385385,104.050119,105.837469,105.797685
34,113.600462,119.43133,119.983463,115.940912,123.489976,111.623185,110.27668,116.018388,109.403833,106.418627,107.466853,106.573695,109.320809,105.24598,104.742971,108.687616,104.420353,102.124431,105.327721,103.79429,106.591865,106.438214,105.763689,105.605889,104.79392,103.443819,107.513274,106.879577,105.693737,104.716733,101.778766,104.176565,106.044892,105.737292
35,113.863739,122.290683,120.453723,116.146435,123.841144,111.801624,110.320597,115.952718,109.569435,106.780461,107.769249,106.521852,109.47435,105.222026,104.799773,108.810844,104.527236,102.257208,105.556224,103.80359,106.591865,106.645898,105.979827,105.822952,104.901101,103.539118,107.659292,107.156483,105.903506,104.611331,101.535041,104.429458,106.118972,104.881731
36,113.924742,122.149316,120.877474,116.583173,124.096539,112.41078,111.067194,116.700344,109.681807,106.859121,107.981923,106.713671,109.72724,105.278917,104.913377,109.118916,104.634118,102.219272,105.387853,103.896587,106.732118,106.853583,106.051873,105.738014,105.057001,103.605697,107.809735,107.95028,105.843572,104.885375,101.381109,104.360487,106.326395,105.80775
37,114.202466,120.044811,121.58028,116.480411,124.294471,112.287718,111.286781,117.033744,109.84741,107.150161,107.985246,106.765514,109.817558,105.389706,105.026981,109.303758,104.741001,102.257208,105.580277,103.961685,106.732118,106.853583,106.268012,105.917327,105.115463,103.732327,107.800885,107.925666,106.083308,104.874835,101.462351,104.398805,106.467146,105.395068
38,114.48019,120.335547,121.073846,116.763006,124.722258,112.595373,111.462451,117.109517,109.959782,107.158027,108.19792,106.864016,110.395592,105.500494,105.055382,110.50866,104.847883,102.408953,105.808779,104.082582,106.87237,106.957425,106.412104,106.049453,105.212901,103.832848,107.836283,107.716448,106.353012,105.14888,101.517937,104.578895,106.541225,105.686965
39,114.740256,120.698301,121.962689,116.968529,124.613715,112.761506,111.81379,117.114569,110.072155,107.378274,108.380687,107.019545,110.422688,105.584334,105.254189,109.426987,104.920411,102.427921,105.965123,104.259276,107.012623,107.165109,106.48415,106.247641,105.339569,103.734938,108.221239,108.036429,106.263111,105.069829,101.62911,104.571232,106.615305,105.697031
40,115.000321,121.517164,122.107385,117.058446,125.079811,112.884568,111.682038,117.341887,110.344216,107.669315,108.5269,107.258023,110.83815,105.775968,105.310991,109.735059,105.096003,102.503794,106.121467,104.268576,107.152875,107.165109,106.628242,106.313703,105.437007,103.835459,108.026549,108.184112,106.652682,105.343874,101.770214,104.521419,106.822728,105.56618
41,114.598985,121.951935,123.321792,117.225434,124.846763,113.407581,112.033377,117.488381,110.616276,107.889562,108.626591,107.216548,110.928468,105.913705,105.367793,109.735059,105.168531,102.560698,106.097414,104.417372,107.152875,107.476636,106.772334,106.266516,105.44675,103.731022,108.628319,108.977909,106.77255,105.554677,102.001112,104.720668,106.963479,105.576246
42,114.781994,122.525406,123.373469,117.353886,124.963287,113.370662,112.033377,117.786421,110.728649,108.180603,108.77945,107.455026,110.856214,105.970596,105.452996,111.248032,105.309768,102.598634,106.434155,104.287176,107.43338,107.476636,106.772334,106.304266,105.495469,104.039112,108.623894,108.69485,106.622715,105.422925,101.736007,104.812629,106.970887,105.234021
43,114.857446,122.936171,124.122784,117.482338,125.079811,113.419887,112.911726,118.14508,110.841022,108.40085,109.081846,107.693504,111.109104,105.946642,105.595001,110.289587,105.27923,102.655539,106.337943,104.659165,107.573633,107.68432,106.916427,106.568516,105.505213,103.955562,108.774336,108.701003,107.222056,105.770751,101.881387,104.958234,107.111638,105.032713
44,114.932897,123.346937,124.127952,117.803468,125.354361,113.641398,112.516469,117.831885,111.166312,108.337922,109.115077,107.68832,111.181358,106.084379,105.680204,110.227973,105.454823,102.731411,106.458208,104.640565,107.573633,107.788162,107.060519,106.502454,105.778038,104.022141,108.871681,108.719463,106.832484,105.654809,101.842904,105.057859,107.319061,105.908405
45,114.849419,124.003094,124.923777,117.970456,125.590601,114.164411,112.911726,118.241901,111.172226,108.558169,109.208121,107.973456,111.434249,106.222116,105.680204,111.925789,105.492995,102.788316,106.578473,104.733563,107.713885,107.788162,107.132565,106.813892,105.924194,104.161826,108.960177,108.953295,107.491759,105.744401,101.864284,105.203464,107.39314,105.91847
